"ID","NOM","NOM_M","INSEE_COM","STATUT","POPULATION","INSEE_CAN","INSEE_ARR","INSEE_DEP","INSEE_REG","SIREN_EPCI"
"COMMUNE_0000000009750964","Sainte-Euphémie","SAINTE-EUPHEMIE","01353","Commune simple",1723,"21","2","01","84","200042497"
"COMMUNE_0000000009749112","Servignat","SERVIGNAT","01406","Commune simple",173,"17","2","01","84","200071751"
"COMMUNE_0000000009750704","Sainte-Olive","SAINTE-OLIVE","01382","Commune simple",305,"22","2","01","84","200069193"
"COMMUNE_0000000009750965","Saint-Didier-de-Formans","SAINT-DIDIER-DE-FORMANS","01347","Commune simple",2072,"21","2","01","84","200042497"
"COMMUNE_0000000009751454","Villebois","VILLEBOIS","01444","Commune simple",1195,"11","1","01","84","240100883"
"COMMUNE_0000000009750222","Bohas-Meyriat-Rignat","BOHAS-MEYRIAT-RIGNAT","01245","Commune simple",950,"18","2","01","84","200071751"
"COMMUNE_0000000009749513","Versonnex","VERSONNEX","01435","Commune simple",2146,"09","3","01","84","240100750"
"COMMUNE_0000000009749962","Bolozon","BOLOZON","01051","Commune simple",91,"16","4","01","84","200042935"
"COMMUNE_0000000009750956","Saint-Jean-de-Thurigneux","SAINT-JEAN-DE-THURIGNEUX","01362","Commune simple",809,"22","2","01","84","200042497"
"COMMUNE_0000000009751473","Beynost","BEYNOST","01043","Commune simple",4829,"13","2","01","84","240100800"
"COMMUNE_0000000009751455","Serrières-de-Briord","SERRIERES-DE-BRIORD","01403","Commune simple",1310,"11","1","01","84","240100883"
"COMMUNE_0000000009749558","Saint-André-de-Bâgé","SAINT-ANDRE-DE-BAGE","01332","Commune simple",792,"17","2","01","84","200071371"
"COMMUNE_0000000009750452","Villes","VILLES","01448","Commune simple",394,"03","4","01","84","240100891"
"COMMUNE_0000000009751195","Saint-Sorlin-en-Bugey","SAINT-SORLIN-EN-BUGEY","01386","Commune simple",1117,"11","1","01","84","240100883"
"COMMUNE_0000000009751186","Tenay","TENAY","01416","Commune simple",1012,"10","1","01","84","240100883"
"COMMUNE_0000000009749754","Curtafond","CURTAFOND","01140","Commune simple",764,"02","2","01","84","200071751"
"COMMUNE_0000000009749963","Villereversure","VILLEREVERSURE","01447","Commune simple",1345,"18","2","01","84","200071751"
"COMMUNE_0000000009749954","Martignat","MARTIGNAT","01237","Commune simple",1674,"14","4","01","84","200042935"
"COMMUNE_0000000009749520","Crozet","CROZET","01135","Commune simple",2205,"20","3","01","84","240100750"
"COMMUNE_0000000009749110","Lescheroux","LESCHEROUX","01212","Commune simple",712,"17","2","01","84","200071751"
"COMMUNE_0000000009750210","Saint-Martin-du-Frêne","SAINT-MARTIN-DU-FRENE","01373","Commune simple",1009,"14","4","01","84","200042935"
"COMMUNE_0000000009750683","Haut Valromey","HAUT VALROMEY","01187","Commune simple",615,"10","1","01","84","200040350"
"COMMUNE_0000000009749969","Saint-Rémy","SAINT-REMY","01385","Commune simple",964,"06","2","01","84","200071751"
"COMMUNE_0000000009749341","Boissey","BOISSEY","01050","Commune simple",380,"17","2","01","84","200071371"
"COMMUNE_0000000009749757","Confrançon","CONFRANCON","01115","Commune simple",1339,"02","2","01","84","200071751"
"COMMUNE_0000000009750482","Montmerle-sur-Saône","MONTMERLE-SUR-SAONE","01263","Commune simple",3761,"08","2","01","84","200070118"
"COMMUNE_0000000009749548","Saint-Martin-le-Châtel","SAINT-MARTIN-LE-CHATEL","01375","Commune simple",788,"02","2","01","84","200071751"
"COMMUNE_0000000009750223","Journans","JOURNANS","01197","Commune simple",377,"07","2","01","84","200071751"
"COMMUNE_0000000009750960","Savigneux","SAVIGNEUX","01398","Commune simple",1438,"22","2","01","84","200042497"
"COMMUNE_0000000009750242","Mogneneins","MOGNENEINS","01252","Commune simple",796,"08","2","01","84","200070118"
"COMMUNE_0000000009750685","Champdor-Corcelles","CHAMPDOR-CORCELLES","01080","Commune simple",636,"10","1","01","84","200042935"
"COMMUNE_0000000009751437","Flaxieu","FLAXIEU","01162","Commune simple",65,"04","1","01","84","200040350"
